Region,Total_Hospitals_2023,Private_Sector_Beds,MoH_Beds,Student_Population_Percent,Internet_Penetration_Percent,Bed_Density_Per_10k_Pop,Notes
Riyadh,109,6345,15147,24.0,99.0,23.8,"Hosts 8 World Cup stadiums; National Avg Internet used where specific data missing"
Makkah,95,3905,12253,23.0,99.7,16.0,"Specific Internet penetration cited; Low bed density due to pilgrim flux"
Eastern Region,84,4468,9236,14.4,99.0,23.8,"Strong private sector presence; National Avg Internet used"
Aseer,41,1170,3881,7.7,99.0,23.8,"Transforming into tourism node"
Madinah,32,1025,3906,7.1,99.0,23.8,
Jazan,28,250,2986,5.7,99.0,18.0,"Cited as having low bed density (1.8 per 1000)"
Qassim,25,363,3724,4.7,99.0,23.8,
Hail,17,256,1940,2.6,99.0,23.8,
Tabuk,16,135,2513,3.4,99.0,23.8,"Home to NEOM and SEVEN Tabuk"
Najran,16,250,1594,2.3,99.0,23.8,
Al-Jouf,15,30,1940,2.4,99.7,23.8,"High connectivity (99.7%) enables precision agriculture"
Northern Borders,11,0,1460,1.4,99.6,37.7,"Highest bed density in Kingdom; High connectivity"
Al-Baha,10,0,1295,1.3,99.0,36.7,"High bed density due to lower population"
