Project_Name,Category,Region,Latitude,Longitude,Capacity_or_Size,Notes
King Salman International Stadium,Sports/World Cup,Riyadh,24.860,46.696,92760,Opening and final matches host
Prince Mohammed bin Salman Stadium,Sports/World Cup,Riyadh (Qiddiya),24.590,46.528,47000,Retractable roof; Tuwaiq cliff location
New Murabba Stadium,Sports/World Cup,Riyadh,24.800,46.550,46000,Integrated with Mukaab
ROSHN Stadium,Sports/World Cup,Riyadh,24.450,46.600,46000,Southwest Riyadh anchor
Jeddah Central Development Stadium,Sports/World Cup,Makkah (Jeddah),21.530,39.130,45794,Al-Andalus/Al-Balad area
Qiddiya Coast Stadium,Sports/World Cup,Makkah (Jeddah),21.500,39.100,46096,"Approx loc; distinct from Riyadh Qiddiya"
King Abdullah Economic City Stadium,Sports/World Cup,Makkah (Rabigh),22.410,39.180,45700,KAEC revitalization
Aramco Stadium,Sports/World Cup,Eastern Region (Khobar),26.365,50.181,47000,Built by Aramco
King Khalid University Stadium,Sports/World Cup,Aseer (Abha),18.097,42.720,45428,Highland Tourism strategy
SEVEN Tabuk,Entertainment,Tabuk,28.380,36.560,40000 m2,Designed as glass canopy village
SEVEN Abha,Entertainment,Aseer (Abha),18.090,42.720,64000 m2,Near Airport
Yanbu Commercial Port,Logistics/Food,Madinah (Yanbu),24.060,38.050,N/A,Grain entry point for Madinah/Makkah
King Abdul Aziz Port,Logistics/Food,Eastern Region (Dammam),26.430,50.100,10000 MT Daily,Linked by rail to Riyadh
NADEC Haradh Project,Agriculture,Eastern Region,24.140,49.060,375000000 m2,Integrated dairy city
NADEC Wadi Al-Dawasir,Agriculture,Riyadh,20.460,44.780,1000 km2,"Potatoes, wheat, feed"
