Asset Name,Category,Sub-Category,Status,Latitude,Longitude,Region,Description,Capacity/Key Metric,Cleaned_Region
Jubail Industrial City,Industrial City,Petrochemicals,Existing,27.0112,49.6105,Eastern,World's largest industrial city; SABIC & Aramco hub,>1000 sq km,Eastern Region
Yanbu Industrial City,Industrial City,Refining & Downstream,Existing,23.9536,38.2267,Madinah,Red Sea energy hub; terminus of East-West pipeline,606 sq km,Madinah
Ras Al-Khair Industrial City,Industrial City,Mining & Maritime,Existing,27.5367,49.1708,Eastern,Mining capital; Aluminium & Phosphate complex,Integrated Maritime Yard,Eastern Region
Jazan City (JCPDI),Industrial City,Heavy Industry,Under Construction,17.2586,42.4764,Jazan,Refining and heavy industry gateway to Africa,Port & Refinery,Jazan
Wa'ad Al-Shamal,Industrial City,Phosphate Mining,Existing,31.6447,38.7617,Northern Borders,Phosphate city; Ma'aden fertilizer complex,440 sq km,Northern Borders
Sudair City for Industry,Industrial City,Mixed Manufacturing,Existing,25.6593,45.6214,Riyadh,Relief valve for Riyadh; light industry & logistics,265 sq km,Riyadh
Riyadh 2nd Industrial City,Industrial City,Manufacturing,Existing,24.567,46.852,Riyadh,Major manufacturing hub for Central region,MODON Main Hub,Riyadh
Dammam 2nd Industrial City,Industrial City,Manufacturing,Existing,26.2361,49.9576,Eastern,Oil & Gas support industries; IKTVA hub,MODON Main Hub,Eastern Region
Jeddah 1st Industrial City,Industrial City,Light Industry,Existing,21.4367,39.243,Makkah,Consumer goods and food processing,MODON Main Hub,Makkah
King Abdullah Economic City,Special Zone,Logistics & Light Ind,Existing,22.4107,39.12,Makkah,Port-centric logistics and pharmaceuticals,173 sq km,Makkah
SPARK (King Salman Energy Park),Special Zone,Energy Services,Under Construction,25.908,49.539,Eastern,Energy supply chain localization (IKTVA),50 sq km,Eastern Region
Ras Al-Khair Power Plant,Utilities,Desalination/Power,Existing,27.55,49.2,Eastern,World's largest hybrid desalination plant,2.9M m3/day,Eastern Region
Shoaiba Power Plant,Utilities,Desalination/Power,Existing,20.672,39.525,Makkah,Major supplier to Makkah & Jeddah,Thermal/RO Complex,Makkah
Jubail Power Plant,Utilities,Desalination/Power,Existing,27.03,49.63,Eastern,Supplies Jubail Industrial City & Riyadh,Integrated Complex,Eastern Region
Ghazlan Power Plant,Utilities,Power Generation,Existing,26.839,49.923,Eastern,Major gas-fired plant supporting Eastern grid,4000+ MW,Eastern Region
Qurayyah IPP,Utilities,Power Generation,Existing,25.86,50.11,Eastern,Combined cycle gas turbine plant,3927 MW,Eastern Region
Rabigh 3 IWP,Utilities,Desalination,Existing,22.68,39.02,Makkah,Major Reverse Osmosis (RO) facility,600k m3/day,Makkah
Yanbu 4 IWP,Utilities,Desalination,Under Construction,23.85,38.15,Madinah,Supplies Madinah and Yanbu region,450k m3/day,Madinah
Ras Al Khair 2 IWP,Utilities,Desalination,Tendering (RFP),27.56,49.18,Eastern,New SWRO plant to supply Riyadh (COD 2028),600k m3/day,Eastern Region
Tabuk 1 IWP,Utilities,Desalination,Tendering,27.3517,35.6901,Tabuk,Supplies NEOM & Madinah region (COD 2028),400k m3/day,Tabuk
Ras Mohaisen IWP,Utilities,Desalination,Awarded,19.5,40.5,Makkah,Anchor supply for Makkah/Baha; Awarded to ACWA,300k m3/day,Makkah
Jazan 1 IWP,Utilities,Desalination,Planned,17.26,42.1,Jazan,Replacing dams/groundwater in South (COD 2028),300k m3/day,Jazan
Riyadh-Qassim IWTP,Utilities,Transmission,Awarded,25.5,45.0,Central,Pipeline connecting Riyadh to Qassim (Vision Invest),685k m3/day,Central
Jubail-Buraidah IWTP,Utilities,Transmission,Under Construction,26.5,47.0,Eastern/Central,East-to-West water transmission bridge,650k m3/day,Eastern/Central
Jazan SSTP (Cluster),Utilities,Wastewater,Awarded,16.89,42.55,Jazan,Integrated treatment plants and network (Alkhorayef),75k m3/day,Jazan
NEOM (The Line),Giga Project,Future City,Under Construction,28.0,35.0,Tabuk,The Linear City & Oxagon Industrial Zone,26500 sq km,Tabuk
Red Sea Global,Giga Project,Tourism/Utilities,Under Construction,25.63,36.8,Tabuk,Regenerative tourism & renewable utility grid,28000 sq km,Tabuk
Qiddiya,Giga Project,Entertainment,Under Construction,24.583,46.333,Riyadh,Entertainment & Sports capital; Six Flags,334 sq km,Riyadh
Oxagon (NEOM),Industrial City,Advanced Mfg,Planned,27.9366,35.1587,Tabuk,Floating industrial city; Hydrogen hub,Clean Industry Hub,Tabuk
Trojena (NEOM),Giga Project,Tourism,Planned,28.7292,35.3957,Tabuk,Mountain tourism; Asian Winter Games 2029 host,Ski Village,Tabuk
